0,Горячий онигири с беконом ,Горячий онигири с курицей чили ,Горячий онигири с сурими и хумусом Эдамаме ,Горячий онигири с сурими и чуккой,Онигири с креветкой в соусе том кха,Онигири с куриным филе в соусе спайси Жизньмарт,Онигири с лососем в соусе том ям Жизньмарт,Онигири с лососем и сливочным сыром Жизньмарт,Онигири с сурими Жизньмарт,Онигири с тунцом в соусе спайси Жизньмарт,Ролл Мистер Сурими,"Ролл Чукка с снежным крабом, шт (Жизньмарт)",Ролл сливочный с курицей и огурцами ЖМ,Ролл сливочный с курицей и омлетом,"Ролл сливочный с лососем, шт (Жизньмарт)","Ролл с лососем и огурцом, шт (Жизньмарт)","Трайфл ""Наполеон"" в банке","Трайфл ""Тирамису"" в банке",Трайфл Морковный с корицей в банке,Трайфл Чернослив с грецкими орехами в банке,Трайфл с соленой карамелью в банке,"Хлопковый чизкейк, 80 гр","Чизкейк ""Карамель-банан"" 100 гр","Чизкейк ""Медовый"" 100 гр",Чизкейк Карамельный Лайт 100 г,Чизкейк Карамель с орехами 100 г.,"Десерт ""Бабушкино варенье"", 100г","Десерт ""Витаминная бомба"", 100г","Печенье ""Имбирный домик"", 40г",Шоколад ананасовый,Шоколад белый с малиной,Шоколад молочный с ореховым нугатином,Шоколад с розовой солью,Безлактозный ремесленный шоколад со смородиной,Белый ремесленный шоколад с фисташкой и шпинатом
67,ЖМ Индустрии 104 БОЛЬШОЙ ФОРМАТ,16,19,8,0,0,16,0,0,29,6,0,0,0,0,0,0,2,1,1,2,1,1,0,0,2,1,7,0,1,0,0,0,0,0,0
68,ЖМ Космонавтов 9А БОЛЬШОЙ ФОРМАТ,9,9,2,0,0,23,0,0,20,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
69,8 марта 51 МИНИ ФОРМАТ,2,2,2,0,0,5,0,1,6,3,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70,"ЖМ Сахарова, 47 БОЛЬШОЙ ФОРМАТ",10,11,6,0,0,19,1,4,29,5,0,0,0,0,0,0,1,0,1,0,2,1,2,0,0,2,3,0,7,0,0,0,0,5,0
71,Сибирский тракт 8н МИНИ ФОРМАТ,2,3,3,0,0,20,1,2,20,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Новаторов 8в МИНИ ФОРМАТ,4,4,2,0,0,10,1,1,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,Военная 1А МИНИ ФОРМАТ,5,4,2,0,0,11,1,1,9,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
74,Санаторная 1 МИНИ ФОРМАТ,5,5,3,0,0,16,0,3,16,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
75,Космонавтов 23 2 МИНИ ФОРМАТ,5,5,3,0,0,12,0,2,12,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Чкалова 258 МИНИ ФОРМАТ,4,4,1,0,0,7,0,2,8,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
77,Белинского 190 МИНИ ФОРМАТ,8,8,3,0,0,15,0,0,15,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Щербакова 74 МИНИ ФОРМАТ,4,4,3,0,0,10,0,4,12,4,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
79,Рябинина 18 МИНИ ФОРМАТ,5,6,4,0,0,8,0,2,10,2,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
80,Баумана 1 МИНИ ФОРМАТ,7,8,1,0,0,10,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
